> Task :compileJava
> Task :compileScala NO-SOURCE
> Task :processResources NO-SOURCE
> Task :classes

> Task :runJavaLocal
[server] -------------------- Match Starting --------------------
[server] immortal_chariot vs. teacher08a on streetsofnewyork
[B: #10120@2] Sensed 1 robots
[B: #10120@3] Sensed 1 robots
[B: #10120@4] Sensed 1 robots
[B: #10120@5] Sensed 0 robots
[B: #10120@6] Sensed 0 robots
[B: #10120@7] Sensed 0 robots
[B: #10120@8] Sensed 0 robots
[B: #10120@9] Sensed 0 robots
[B: #10120@10] Sensed 0 robots
[B: #10120@11] Sensed 0 robots
[B: #10120@12] Sensed 0 robots
[B: #10819@12] Sensed 1 robots
[B: #10120@13] Sensed 0 robots
[B: #10819@13] Sensed 1 robots
[B: #10120@14] Sensed 0 robots
[B: #10819@14] Sensed 1 robots
[B: #10120@15] Sensed 0 robots
[B: #10819@15] Sensed 0 robots
[B: #10120@16] Sensed 0 robots
[B: #10819@16] Sensed 0 robots
[B: #10120@17] Sensed 1 robots
[B: #10120@17] Received 0 messages
[B: #10819@17] Sensed 0 robots
[B: #10120@18] Sensed 0 robots
[B: #10819@18] Sensed 1 robots
[B: #10819@18] Received 0 messages
[B: #10120@19] Sensed 1 robots
[B: #10120@19] Received 0 messages
[B: #10819@19] Sensed 1 robots
[B: #10819@19] Received 0 messages
[B: #10120@20] Sensed 1 robots
[B: #10120@20] Received 0 messages
[B: #10819@20] Sensed 2 robots
[B: #10819@20] Received 0 messages
[B: #10819@20] Received 0 messages
[B: #10120@21] Sensed 1 robots
[B: #10120@21] Received 0 messages
[B: #10819@21] Sensed 1 robots
[B: #10819@21] Received 0 messages
[B: #10120@22] Sensed 0 robots
[B: #10819@22] Sensed 0 robots
[B: #11456@22] Sensed 1 robots
[B: #10120@23] Sensed 0 robots
[B: #10819@23] Sensed 1 robots
[B: #10819@23] Received 0 messages
[B: #11456@23] Sensed 1 robots
[B: #10120@24] Sensed 0 robots
[B: #10819@24] Sensed 1 robots
[B: #10819@24] Received 0 messages
[B: #11456@24] Sensed 1 robots
[B: #10120@25] Sensed 0 robots
[B: #10819@25] Sensed 1 robots
[B: #10819@25] Received 0 messages
[B: #11456@25] Sensed 0 robots
[B: #10120@26] Sensed 0 robots
[B: #10819@26] Sensed 1 robots
[B: #10819@26] Received 0 messages
[B: #11456@26] Sensed 0 robots
[B: #10120@27] Sensed 0 robots
[B: #10819@27] Sensed 1 robots
[B: #10819@27] Received 0 messages
[B: #11456@27] Sensed 0 robots
[B: #10120@28] Sensed 0 robots
[B: #10819@28] Sensed 0 robots
[B: #11456@28] Sensed 0 robots
[B: #10120@29] Sensed 0 robots
[B: #10819@29] Sensed 1 robots
[B: #10819@29] Received 0 messages
[B: #11456@29] Sensed 0 robots
[B: #10120@30] Sensed 0 robots
[B: #10819@30] Sensed 1 robots
[B: #10819@30] Received 0 messages
[B: #11456@30] Sensed 0 robots
[B: #10120@31] Sensed 0 robots
[B: #10819@31] Sensed 1 robots
[B: #10819@31] Received 0 messages
[B: #11456@31] Sensed 0 robots
[B: #10120@32] Sensed 0 robots
[B: #10819@32] Sensed 1 robots
[B: #10819@32] Received 0 messages
[B: #11456@32] Sensed 0 robots
[B: #12806@32] Sensed 1 robots
[B: #10120@33] Sensed 0 robots
[B: #10819@33] Sensed 1 robots
[B: #10819@33] Received 0 messages
[B: #13990@33] Found a cheese mine at [37, 33]
[B: #13990@33] Going straight to cheese mine at [37, 33]
[B: #11456@33] Sensed 0 robots
[B: #12806@33] Sensed 1 robots
[B: #10120@34] Sensed 0 robots
[B: #10819@34] Sensed 1 robots
[B: #10819@34] Received 0 messages
[B: #13990@34] Going straight to cheese mine at [37, 33]
[B: #11456@34] Sensed 0 robots
[B: #12806@34] Sensed 1 robots
[B: #10120@35] Sensed 0 robots
[B: #10819@35] Sensed 1 robots
[B: #13990@35] Found a cheese mine at [37, 33]
[B: #13990@35] Going straight to cheese mine at [37, 33]
[B: #11456@35] Sensed 0 robots
[B: #12806@35] Sensed 1 robots
[B: #12806@35] Received 0 messages
[B: #10120@36] Sensed 0 robots
[B: #10819@36] Sensed 1 robots
[B: #13990@36] Can sense kingLoc [55, 28] ? false at distSquared 370
[B: #11456@36] Sensed 0 robots
[B: #12806@36] Sensed 0 robots
[B: #10120@37] Sensed 1 robots
[B: #10120@37] Received 0 messages
[B: #10819@37] Sensed 1 robots
[B: #13990@37] Can sense kingLoc [55, 28] ? false at distSquared 333
