> Task :compileJava UP-TO-DATE
> Task :compileScala NO-SOURCE
> Task :processResources NO-SOURCE
> Task :classes UP-TO-DATE

> Task :runJavaLocal
[server] -------------------- Match Starting --------------------
[server] shredders vs. teacher08a on toomuchcheese
[B: #12765@2] Sensed 0 robots
[B: #12765@3] Sensed 0 robots
[B: #12765@4] Sensed 0 robots
[B: #12765@5] Sensed 0 robots
[B: #12765@6] Sensed 0 robots
[B: #12765@7] Sensed 0 robots
[B: #12765@8] Sensed 0 robots
[B: #12765@9] Sensed 0 robots
[B: #12765@10] Sensed 0 robots
[B: #12765@11] Sensed 2 robots
[B: #12765@11] Received 0 messages
[B: #12765@11] Received 0 messages
[B: #12765@12] Sensed 4 robots
[B: #12765@12] Received 0 messages
[B: #12765@12] Received 0 messages
[B: #12765@12] Received 0 messages
[B: #12765@12] Received 0 messages
[B: #13525@12] Sensed 0 robots
[B: #12765@13] Sensed 0 robots
[B: #13525@13] Sensed 0 robots
[B: #12765@14] Sensed 0 robots
[B: #13525@14] Sensed 0 robots
[B: #12765@15] Sensed 3 robots
[B: #12765@15] Received 0 messages
[B: #12765@15] Received 0 messages
[B: #12765@15] Received 0 messages
[B: #13525@15] Sensed 0 robots
[B: #12765@16] Sensed 5 robots
[B: #12765@16] Received 0 messages
[B: #12765@16] Received 0 messages
[B: #12765@16] Received 0 messages
[B: #12765@16] Received 0 messages
[B: #12765@16] Received 0 messages
[B: #13525@16] Sensed 0 robots
[B: #12765@17] Sensed 5 robots
[B: #12765@17] Received 0 messages
[B: #12765@17] Received 0 messages
[B: #12765@17] Received 0 messages
[B: #12765@17] Received 0 messages
[B: #12765@17] Received 0 messages
[B: #13525@17] Sensed 0 robots
[B: #12765@18] Sensed 1 robots
[B: #12765@18] Received 0 messages
[B: #13525@18] Sensed 1 robots
[B: #13525@18] Received 0 messages
[B: #12765@19] Sensed 1 robots
[B: #12765@19] Received 0 messages
[B: #13525@19] Sensed 1 robots
[B: #13525@19] Received 0 messages
[B: #12765@20] Sensed 5 robots
[B: #12765@20] Received 0 messages
[B: #12765@20] Received 0 messages
[B: #12765@20] Received 0 messages
[B: #12765@20] Received 0 messages
[B: #12765@20] Received 0 messages
[B: #13525@20] Sensed 4 robots
[B: #13525@20] Received 0 messages
[B: #13525@20] Received 0 messages
[B: #13525@20] Received 0 messages
[B: #13525@20] Received 0 messages
[B: #12765@21] Sensed 1 robots
[B: #12765@21] Received 0 messages
[B: #13525@21] Sensed 3 robots
[B: #13525@21] Received 0 messages
[B: #13525@21] Received 0 messages
[B: #13525@21] Received 0 messages
[B: #12765@22] Sensed 2 robots
[B: #12765@22] Received 0 messages
[B: #12765@22] Received 0 messages
[B: #13525@22] Sensed 2 robots
